,,,,,,,,,,Latitude,Longitude,Actual Lat,Actual Lon,Precision (metres),,,,Coordinate,Metres
,,,,,"$GPRMC,185656.000,A,3950.9345,N,07531.0744,W,1.70,38.16,070424,,,A*49",39.848908,-75.517907,"39.84890833,-75.51790667",,,,,,,,,,,
,,,,,"$GPGGA,185657.000,3950.9348,N,07531.0741,W,1,08,1.11,116.5,M,-33.8,M,,*52",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
,,,,,"$GPRMC,185657.000,A,3950.9348,N,07531.0741,W,1.67,37.28,070424,,,A*44",39.848913,-75.517902,"39.84891333,-75.51790167",,,,,,,,,,,
,,,,,"$GPGGA,185658.000,3950.9351,N,07531.0741,W,1,08,1.11,116.5,M,-33.8,M,,*55",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
,,,,,"$GPRMC,185658.000,A,3950.9351,N,07531.0741,W,1.68,35.08,070424,,,A*4C",39.848918,-75.517902,"39.84891833,-75.51790167",,,,,,,,,,,
,,,,,"$GPGGA,185659.000,3950.9352,N,07531.0736,W,1,08,1.11,116.5,M,-33.8,M,,*57",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
,,,,,"$GPRMC,185659.000,A,3950.9352,N,07531.0736,W,1.41,46.27,070424,,,A*4C",39.848920,-75.517893,"39.84892,-75.51789333",,,,,,,,,,,
,,,,,"$GPGGA,185700.000,3950.9355,N,07531.0734,W,1,08,1.11,116.5,M,-33.8,M,,*5F",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
,,,,,"$GPRMC,185700.000,A,3950.9355,N,07531.0734,W,1.36,46.79,070424,,,A*4F",39.848925,-75.517890,"39.848925,-75.51789",,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
,,,,,"$GPRMC,185659.000,A,3950.9352,N,07531.0736,W,1.41,46.27,070424,,,A*4C",39.848920,-75.517893,"39.84892,-75.51789333",,,,,,,,,,,
,,,,,"$GPGGA,185700.000,3950.9355,N,07531.0734,W,1,08,1.11,116.5,M,-33.8,M,,*5F",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
,,,,,"$GPRMC,185700.000,A,3950.9355,N,07531.0734,W,1.36,46.79,070424,,,A*4F",39.848925,-75.517890,"39.848925,-75.51789",,,,,,,,,,,
,,,,,"$GPGGA,185701.000,3950.9355,N,07531.0733,W,1,08,1.11,116.5,M,-33.8,M,,*59",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,1,11,22,67,165,35,19,67,336,32,17,63,053,32,06,61,244,25*70",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,2,11,14,42,155,31,03,34,059,30,51,33,224,,11,23,233,25*77",,,,,,,,,,,,,,
